date,price,market_cap,mvrv,btc_price,fear_greed
2022-02-19,2757.59524547049,326042636607.5945,1.322373464762,40095.887329398,25.0
2022-02-20,2636.38894248977,311735818583.9793,1.275111260418,38551.6224967855,27.0
2022-02-21,2578.87216978375,304951719979.8673,1.254100616413,37098.0360081824,25.0
2022-02-22,2636.22923874927,311752643766.78955,1.278285210072,38202.5940818235,20.0
2022-02-23,2591.79215108124,306517062695.28534,1.262266339711,37308.2687344243,25.0
2022-02-24,2594.05176271187,306802531124.2691,1.265169507035,38283.790402104,23.0
2022-02-25,2788.59007977791,329837514553.4212,1.341227340837,39323.7702158387,27.0
2022-02-26,2777.68419199299,328577626564.4855,1.337026183721,39056.5781523086,26.0
2022-02-27,2614.48211922852,309300957603.47736,1.272402217382,37664.7792828755,26.0
2022-02-28,2914.46506487434,344814046314.0025,1.390719067242,43179.2545140269,20.0
2022-03-01,2969.53468030392,351357844750.8877,1.412022417142,44334.457582408,51.0
2022-03-02,2954.65685739334,349626702102.9695,1.402737244511,43984.584926768,52.0
2022-03-03,2836.95393191116,335728574596.01715,1.355368949599,42492.7744552893,39.0
2022-03-04,2617.82250379895,309824449515.40344,1.270828626008,39106.4052159556,33.0
2022-03-05,2662.88603331385,315188765576.95807,1.28975951285,39383.8848433665,22.0
2022-03-06,2557.90416393922,302789734330.08545,1.246965003296,38399.3426268264,22.0
2022-03-07,2501.00067124489,296082482789.92474,1.232559429695,38146.734273232,23.0
2022-03-08,2577.76486323787,305200035242.8161,1.266305806957,38725.477261543,21.0
2022-03-09,2726.9712761543,322897535771.1622,1.325527666652,41989.4028179427,22.0
2022-03-10,2611.41140765634,309245862617.8305,1.279679331463,39482.2584672706,28.0
2022-03-11,2562.6069748685,303498430789.2502,1.260615966218,38825.3644214494,22.0
2022-03-12,2578.18213267095,305376733564.21375,1.267424072737,38951.1300157802,22.0
2022-03-13,2516.49195207481,298100690308.7325,1.242376864768,37808.3174004091,21.0
2022-03-14,2589.37761689071,306766217630.95056,1.27361050887,39649.0453243717,23.0
2022-03-15,2621.23701899474,310571002686.1724,1.282177866747,39356.8139000584,21.0
2022-03-16,2768.91552717709,328099370472.1783,1.340381738649,41101.768579135,24.0
2022-03-17,2816.07112390415,333713383471.5035,1.358742501927,40966.4169324956,27.0
2022-03-18,2945.90649006429,349128735196.0857,1.409488592457,41826.1160710111,25.0
2022-03-19,2948.82827971946,349511144135.40106,1.408793623983,42193.1615362361,28.0
2022-03-20,2861.81527405026,339234082068.7267,1.373900505141,41294.7235129164,31.0
2022-03-21,2898.31257539451,343594964687.7506,1.38827674523,41064.429648159,30.0
2022-03-22,2976.63482524839,352913580784.1796,1.417292341991,42383.169518761,26.0
2022-03-23,3021.12716715371,358223561121.5272,1.428061321782,42734.2000355932,31.0
2022-03-24,3110.07358153127,368802603334.44495,1.45360527501,43974.5935882525,40.0
2022-03-25,3104.45554324956,368169842378.86664,1.450721224439,44347.034279661,47.0
2022-03-26,3145.64074167154,373091951039.56714,1.465402448634,44519.9268641145,51.0
2022-03-27,3288.73951139684,390100025024.9491,1.513899807455,46777.2056265342,49.0
2022-03-28,3346.48037200468,396975439106.2752,1.525898716623,47223.6528860316,60.0
2022-03-29,3398.67210052601,403203633895.1166,1.546866664183,47463.7096770894,56.0
2022-03-30,3389.04939859731,402096496205.33246,1.53954083795,47123.2971478667,55.0
2022-03-31,3281.78751081239,389403908128.80927,1.499892640456,45562.2106665693,52.0
2022-04-01,3446.51983682057,408981510383.854,1.555460562468,46250.3362878434,50.0
2022-04-02,3451.96555774401,409662033840.1547,1.555509447029,45939.8973489188,52.0
2022-04-03,3521.53255113968,417953425564.6764,1.579593229687,46440.5438538866,48.0
2022-04-04,3525.40589713618,418444843138.9184,1.573541064902,46663.0041770894,52.0
2022-04-05,3425.35487270602,406585274506.4114,1.537445932156,45693.0350619521,53.0
2022-04-06,3183.70336908241,377932184918.2474,1.450429128906,43304.9371990064,48.0
2022-04-07,3238.18884687317,384429653074.0854,1.473331290978,43569.0471697837,34.0
2022-04-08,3185.76596639392,378237318251.115,1.454450649541,42222.0689772063,37.0
2022-04-09,3257.96308474576,386847010329.398,1.481068243398,42680.9947355932,30.0
2022-04-10,3218.1317761543,382155324406.553,1.466266688902,42264.4633909994,34.0
2022-04-11,2985.2986779661,354538550563.24097,1.379653088654,39544.0251835184,32.0
2022-04-12,3027.95501139684,359636917000.0669,1.396772483609,40096.3669748685,20.0
2022-04-13,3118.53925920514,370428780620.2366,1.431965676983,41152.7554517826,25.0
2022-04-14,3019.78703097604,358730552672.0143,1.394282564751,39916.4963842782,28.0
2022-04-15,3039.32726592636,361087716353.2374,1.40339211099,40527.3319567504,22.0
2022-04-16,3065.65542343659,364252922997.1885,1.413216098187,40439.5881209819,28.0
2022-04-17,2996.52688457043,356077322435.2663,1.386045877059,39704.7839798364,28.0
2022-04-18,3058.24911367621,363447371337.4933,1.40942286941,40818.8786025716,24.0
2022-04-19,3104.38072004676,368964491507.1429,1.431254453635,41489.6638011689,27.0
2022-04-20,3078.53693571011,365918718328.66376,1.416647317145,41395.64458346,27.0
2022-04-21,2984.30083985973,354744896017.5175,1.382475150257,40457.4959418469,27.0
2022-04-22,2963.93688515488,352354534609.0748,1.37670509713,39737.9735040912,26.0
