date,mvrv_zscore_raw,mvrv_zscore,mvrv_zscore_sell,ma_200w_raw,ma_200w,ma_200w_sell,monthly_rsi_raw,monthly_rsi,monthly_rsi_sell,eth_btc_ratio_raw,eth_btc_ratio,eth_btc_ratio_sell,mayer_multiple_raw,mayer_multiple,mayer_multiple_sell,fear_greed_raw,fear_greed,fear_greed_sell
2015-10-24,0.4745163972673253,50,0,,50,0,0.0,100,0,-1.757860788082418,100,0,,50,0,,50,0
2015-10-25,0.78018118151389,50,0,,50,0,0.0,100,0,-1.7483163741273935,100,0,,50,0,,50,0
2015-10-26,1.096497488562218,50,0,,50,0,0.0,100,0,-1.7371141431298864,100,0,,50,0,,50,0
2015-10-27,1.5407272602059108,50,0,,50,0,0.0,100,0,-1.7214337033815692,100,0,,50,0,,50,0
2015-10-28,2.164152459427434,50,0,,50,0,0.0,100,0,-1.7023661760824034,100,0,,50,0,,50,0
2015-10-29,2.3401008400257006,50,0,,50,0,0.0,100,0,-1.681146157141682,100,0,,50,0,,50,0
2015-10-30,2.0641944594332546,50,0,,50,0,0.0,100,0,-1.6955017448830263,100,0,,50,0,,50,0
2015-10-31,1.2446578396043904,50,0,,50,0,2.2288383055477965,100,0,-1.720444207493068,100,0,,50,0,,50,0
2015-11-01,1.6002815560505756,50,0,,50,0,2.2288383055477965,100,0,-1.713133412742183,100,0,,50,0,,50,0
2015-11-02,1.6047079363510228,50,0,,50,0,2.2288383055477965,100,0,-1.7256909249191474,100,0,,50,0,,50,0
2015-11-03,1.804053134267996,50,0,,50,0,2.2288383055477965,100,0,-1.7298499446030342,100,0,,50,0,,50,0
2015-11-04,0.9063758113244285,50,0,,50,0,2.2288383055477965,100,0,-1.757437290229841,100,0,,50,0,,50,0
2015-11-05,1.176650678069419,50,0,,50,0,2.2288383055477965,100,0,-1.744125991398173,100,0,,50,0,,50,0
2015-11-06,1.634341515726582,50,0,,50,0,2.2288383055477965,100,0,-1.7315438489120176,100,0,,50,0,,50,0
2015-11-07,1.4785946434292405,50,0,,50,0,2.2288383055477965,100,0,-1.7407302751734455,100,0,,50,0,,50,0
2015-11-08,1.8085293617741467,50,0,,50,0,2.2288383055477965,100,0,-1.7267165366313662,100,0,,50,0,,50,0
2015-11-09,1.7089971256714465,50,0,,50,0,2.2288383055477965,100,0,-1.7293979450284742,100,0,,50,0,,50,0
2015-11-10,1.3416370393404604,50,0,,50,0,2.2288383055477965,100,0,-1.7273852150066853,100,0,,50,0,,50,0
2015-11-11,0.7801990233757937,50,0,,50,0,2.2288383055477965,100,0,-1.7377764811564962,100,0,,50,0,,50,0
2015-11-12,1.6904021584329807,50,0,,50,0,2.2288383055477965,100,0,-1.7300712025766167,100,0,,50,0,,50,0
2015-11-13,1.7770847130945175,50,0,,50,0,2.2288383055477965,100,0,-1.7274435743974739,100,0,,50,0,,50,0
2015-11-14,1.6920028553402888,50,0,,50,0,2.2288383055477965,100,0,-1.7285652685260549,100,0,,50,0,,50,0
2015-11-15,1.8080213328045638,50,0,,50,0,2.2288383055477965,100,0,-1.719878340544022,100,0,,50,0,,50,0
2015-11-16,1.8699328342522086,50,0,,50,0,2.2288383055477965,100,0,-1.7234403011197206,100,0,,50,0,,50,0
