date,mvrv_zscore_raw,mvrv_zscore,ma_200w_ratio_raw,ma_200w,monthly_rsi_raw,monthly_rsi,pi_cycle_ratio_raw,pi_cycle,puell_raw,puell,fear_greed_raw,fear_greed
2010-11-17,0.8236829161155206,50,,50,59.235888261639275,50,,50,,50,,50
2010-11-18,0.9821489965148283,50,,50,59.235888261639275,50,,50,,50,,50
2010-11-19,1.0169879288253656,50,,50,59.235888261639275,50,,50,,50,,50
2010-11-20,1.023186203635846,50,,50,59.235888261639275,50,,50,,50,,50
2010-11-21,0.9708918982595655,50,,50,59.235888261639275,50,,50,,50,,50
2010-11-22,1.0076985698139598,50,,50,59.235888261639275,50,,50,,50,,50
2010-11-23,0.9776033884531348,50,,50,59.235888261639275,50,,50,,50,,50
2010-11-24,0.9573310929170219,50,,50,59.235888261639275,50,,50,,50,,50
2010-11-25,0.9150984958837238,50,,50,59.235888261639275,50,,50,,50,,50
2010-11-26,0.9149218728120665,50,,50,59.235888261639275,50,,50,,50,,50
2010-11-27,0.8923999272212568,50,,50,59.235888261639275,50,,50,,50,,50
2010-11-28,0.8126943391038038,50,,50,59.235888261639275,50,,50,,50,,50
2010-11-29,0.5667922878482516,50,,50,59.235888261639275,50,,50,,50,,50
2010-11-30,0.4306494951683768,50,,50,62.103359880818225,50,,50,,50,,50
2010-12-01,0.5417463155578748,50,,50,62.103359880818225,50,,50,,50,,50
2010-12-02,0.6769573573645871,50,,50,62.103359880818225,50,,50,,50,,50
2010-12-03,0.64726321827963,50,,50,62.103359880818225,50,,50,,50,,50
2010-12-04,0.37800913719583806,50,,50,62.103359880818225,50,,50,,50,,50
2010-12-05,0.36044198030163166,50,,50,62.103359880818225,50,,50,,50,,50
2010-12-06,0.34789279285751296,50,,50,62.103359880818225,50,,50,,50,,50
2010-12-07,0.49536984614153956,50,,50,62.103359880818225,50,,50,,50,,50
2010-12-08,0.5165800155812854,50,,50,62.103359880818225,50,,50,,50,,50
2010-12-09,0.29835998233339006,50,,50,62.103359880818225,50,,50,,50,,50
2010-12-10,0.3190342325174609,50,,50,62.103359880818225,50,,50,,50,,50
2010-12-11,0.4442521560874213,50,,50,62.103359880818225,50,,50,,50,,50
2010-12-12,0.3951850040580715,50,,50,62.103359880818225,50,,50,,50,,50
2010-12-13,0.4283839698393147,50,,50,62.103359880818225,50,,50,,50,,50
2010-12-14,0.5249321900368601,50,,50,62.103359880818225,50,,50,,50,,50
2010-12-15,0.4773395407895545,50,,50,62.103359880818225,50,,50,,50,,50
2010-12-16,0.5228597956318028,50,,50,62.103359880818225,50,,50,,50,,50
2010-12-17,0.47929489204792297,50,,50,62.103359880818225,50,,50,,50,,50
2010-12-18,0.46408088064331277,50,,50,62.103359880818225,50,,50,,50,,50
2010-12-19,0.4549427848144499,50,,50,62.103359880818225,50,,50,,50,,50
2010-12-20,0.5777669684192911,50,,50,62.103359880818225,50,,50,,50,,50
2010-12-21,0.4207429671254436,50,,50,62.103359880818225,50,,50,,50,,50
2010-12-22,0.4592029745014908,50,,50,62.103359880818225,50,,50,,50,,50
2010-12-23,0.45412091598081666,50,,50,62.103359880818225,50,,50,,50,,50
2010-12-24,0.43947147637049366,50,,50,62.103359880818225,50,,50,,50,,50
2010-12-25,0.44311842630847487,50,,50,62.103359880818225,50,,50,,50,,50
2010-12-26,0.5115935452707308,50,,50,62.103359880818225,50,,50,,50,,50
2010-12-27,0.5042752749224987,50,,50,62.103359880818225,50,,50,,50,,50
2010-12-28,0.5751911149300267,50,,50,62.103359880818225,50,,50,,50,,50
2010-12-29,0.6406952584082677,50,,50,62.103359880818225,50,,50,,50,,50
2010-12-30,0.6304976552837241,50,,50,62.103359880818225,50,,50,,50,,50
2010-12-31,0.6234222705508036,50,,50,73.73658352960834,0,,50,,50,,50
2011-01-01,0.6160286423229268,50,,50,73.73658352960834,0,,50,,50,,50
2011-01-02,0.6036313546943205,50,,50,73.73658352960834,0,,50,,50,,50
2011-01-03,0.5721832268987449,50,,50,73.73658352960834,0,,50,,50,,50
2011-01-04,0.5848576810033234,50,,50,73.73658352960834,0,,50,,50,,50
2011-01-05,0.5777597951471705,50,,50,73.73658352960834,0,,50,,50,,50
2011-01-06,0.5672759302106646,50,,50,73.73658352960834,0,,50,,50,,50
2011-01-07,0.6575136011158316,50,,50,73.73658352960834,0,,50,,50,,50
2011-01-08,0.660144967378037,50,,50,73.73658352960834,0,,50,,50,,50
2011-01-09,0.652000894858717,50,,50,73.73658352960834,0,,50,,50,,50
2011-01-10,0.6458681243093098,50,,50,73.73658352960834,0,,50,,50,,50
2011-01-11,0.6079290449017526,50,,50,73.73658352960834,0,,50,,50,,50
2011-01-12,0.5681046722473757,50,,50,73.73658352960834,0,,50,,50,,50
2011-01-13,0.5433964682146802,50,,50,73.73658352960834,0,,50,,50,,50
2011-01-14,0.8646380786832207,50,,50,73.73658352960834,0,,50,,50,,50
2011-01-15,0.7946414231439358,50,,50,73.73658352960834,0,,50,,50,,50
2011-01-16,0.7767716912247985,50,,50,73.73658352960834,0,,50,,50,,50
2011-01-17,0.6120223191561737,50,,50,73.73658352960834,0,,50,,50,,50
2011-01-18,0.4602214007232002,50,,50,73.73658352960834,0,,50,,50,,50
2011-01-19,0.4450250447322776,50,,50,73.73658352960834,0,,50,,50,,50
2011-01-20,0.7349192492289885,50,,50,73.73658352960834,0,,50,,50,,50
2011-01-21,0.8345611934240402,50,,50,73.73658352960834,0,,50,,50,,50
2011-01-22,0.8921546694385112,50,,50,73.73658352960834,0,,50,,50,,50
2011-01-23,0.8675818898088772,50,,50,73.73658352960834,0,,50,,50,,50
2011-01-24,0.7618206132915567,50,,50,73.73658352960834,0,,50,,50,,50
2011-01-25,0.7154854155335848,50,,50,73.73658352960834,0,,50,,50,,50
2011-01-26,0.530207732265414,50,,50,73.73658352960834,0,,50,,50,,50
2011-01-27,0.536633195836271,50,,50,73.73658352960834,0,,50,,50,,50
2011-01-28,0.5979122252655967,50,,50,73.73658352960834,0,,50,,50,,50
2011-01-29,0.5614434963333276,50,,50,73.73658352960834,0,,50,,50,,50
2011-01-30,0.6686477602732112,50,,50,73.73658352960834,0,,50,,50,,50
2011-01-31,0.7763459256927862,50,,50,85.49585070723431,0,,50,,50,,50
2011-02-01,1.236087415778226,50,,50,85.49585070723431,0,,50,,50,,50
2011-02-02,1.2083928962454429,50,3.9864962437072786,0,85.49585070723431,0,,50,,50,,50
2011-02-03,1.0995109706164947,50,3.7605605907286828,0,85.49585070723431,0,,50,,50,,50
2011-02-04,1.3726808067309086,50,4.322322618521877,0,85.49585070723431,0,,50,,50,,50
2011-02-05,1.547202535430409,0,4.768458993478409,0,85.49585070723431,0,,50,,50,,50
2011-02-06,1.4664562713772127,50,4.61334642374075,0,85.49585070723431,0,,50,,50,,50
2011-02-07,1.3291455613224334,50,4.49108030417957,0,85.49585070723431,0,,50,,50,,50
2011-02-08,1.370501060598252,50,4.5550019685699406,0,85.49585070723431,0,,50,,50,,50
2011-02-09,1.5088177723943688,0,4.944968418335445,0,85.49585070723431,0,,50,,50,,50
2011-02-10,1.3811413507158368,50,4.682997715942979,0,85.49585070723431,0,,50,,50,,50
2011-02-11,1.4781305831967646,50,4.943205245423206,0,85.49585070723431,0,,50,,50,,50
2011-02-12,1.4955019977552946,50,4.9628113682741715,0,85.49585070723431,0,,50,,50,,50
2011-02-13,1.3998863069884284,50,4.744615965279272,0,85.49585070723431,0,,50,,50,,50
2011-02-14,1.3555803099132808,50,4.749135532802218,0,85.49585070723431,0,,50,,50,,50
2011-02-15,1.2907187602354742,50,4.581579229173271,0,85.49585070723431,0,,50,,50,,50
2011-02-16,1.232134930674755,50,4.4292000157867095,0,85.49585070723431,0,,50,,50,,50
2011-02-17,1.226946331423895,50,4.393754713064498,0,85.49585070723431,0,,50,,50,,50
2011-02-18,0.9334606248823507,50,3.7495834840162603,0,85.49585070723431,0,,50,,50,,50
2011-02-19,1.0083161362342192,50,3.884989518824558,0,85.49585070723431,0,,50,,50,,50
2011-02-20,0.839592532166486,50,3.518448815303376,0,85.49585070723431,0,,50,,50,,50
2011-02-21,0.7750640794012601,50,3.3626195437535578,0,85.49585070723431,0,,50,,50,,50
2011-02-22,0.8369120924508016,50,3.4886667473614597,0,85.49585070723431,0,,50,,50,,50
2011-02-23,0.8661572755327125,50,3.538678078739725,0,85.49585070723431,0,,50,,50,,50
2011-02-24,1.0079155765018126,50,3.839029529368799,0,85.49585070723431,0,,50,,50,,50
2011-02-25,0.8604488512698445,50,3.509951207002405,0,85.49585070723431,0,,50,,50,,50
2011-02-26,0.9027339238907705,50,3.632892996656841,0,85.49585070723431,0,,50,,50,,50
2011-02-27,0.7632477740995992,50,3.3583774366988006,0,85.49585070723431,0,,50,,50,,50
2011-02-28,0.6842838431166162,50,3.1962473777016607,0,91.55588430054172,0,,50,,50,,50
2011-03-01,0.6003138481255732,50,3.3863018253379793,0,91.55588430054172,0,,50,,50,,50
2011-03-02,0.6168301916163695,50,3.418612691202859,0,91.55588430054172,0,,50,,50,,50
2011-03-03,0.6073489222320655,50,3.3799526886754365,0,91.55588430054172,0,,50,,50,,50
2011-03-04,0.5422254001148249,50,3.2119499127189655,0,91.55588430054172,0,,50,,50,,50
2011-03-05,0.5401186924092108,50,3.2049541257982943,0,91.55588430054172,0,,50,,50,,50
2011-03-06,0.49970174827485214,50,3.095180891228068,0,91.55588430054172,0,,50,,50,,50
2011-03-07,0.4857693560824921,50,3.0430034288768177,0,91.55588430054172,0,,50,,50,,50
2011-03-08,0.4618135427350318,50,2.9775960734231366,0,91.55588430054172,0,,50,,50,,50
2011-03-09,0.4496019289092152,50,2.932305876070204,0,91.55588430054172,0,,50,,50,,50
2011-03-10,0.5318340740381647,50,3.110972149610661,0,91.55588430054172,0,,50,,50,,50
2011-03-11,0.4694214729743882,50,2.948989155398657,0,91.55588430054172,0,,50,,50,,50
2011-03-12,0.5095805118213408,50,3.0491207670070435,0,91.55588430054172,0,,50,,50,,50
2011-03-13,0.4664402059331981,50,2.940807188570295,0,91.55588430054172,0,,50,,50,,50
2011-03-14,0.4560357903582871,50,2.921849669821991,0,91.55588430054172,0,,50,,50,,50
2011-03-15,0.4194258586663871,50,2.829241494960409,0,91.55588430054172,0,,50,,50,,50
2011-03-16,0.3771597106701006,50,2.741086061917281,0,91.55588430054172,0,,50,,50,,50
2011-03-17,0.3358214937491597,50,2.640018005597561,0,91.55588430054172,0,,50,,50,,50
2011-03-18,0.3025169158297686,50,2.5486345816573355,0,91.55588430054172,0,,50,,50,,50
2011-03-19,0.24996239382345414,50,2.41705849049109,0,91.55588430054172,0,,50,,50,,50
