date,price,market_cap,mvrv,miner_revenue,fear_greed
2010-12-27,0.264785388661601,1320577.4081414356,3.21872427,2295.0206941959,
2010-12-28,0.281,1403819.8,3.39360976,2362.5279160209,
2010-12-29,0.3,1501215.0,3.55514947,2508.5393662443,
2010-12-30,0.3,1503750.0,3.53000117,2625.027715656,
2010-12-31,0.3,1506180.0,3.51255257,2430.007005183,
2011-01-01,0.3,1508895.0,3.49431915,2775.026745774,
2011-01-02,0.29997,1511368.848,3.46374621,2775.026690469,
2011-01-03,0.295,1488629.0,3.38619201,2340.218476206,
2011-01-04,0.29895,1510669.0875,3.41744847,2115.009387273,
2011-01-05,0.298916302162478,1512800.459429193,3.39994438,2370.027862842,
2011-01-06,0.298,1510264.0,3.37409013,2115.024925803,
2011-01-07,0.32,1624384.0,3.59662517,2550.016057536,
2011-01-08,0.3229,1641849.63,3.60311438,2720.0056493856,
2011-01-09,0.323,1644990.55,3.58303029,2608.0448,
2011-01-10,0.32659,1665919.2605,3.56790627,2688.0252303008,
2011-01-11,0.32659,1668727.9345,3.47434474,2970.0170033061,
2011-01-12,0.318799621274109,1631584.5817187624,3.37613389,2854.595899287,
2011-01-13,0.3176,1628430.48,3.31520101,3456.0089779932,
2011-01-14,0.399990005844535,2054488.6665195771,4.10741466,3843.0272743254,
2011-01-15,0.386,1985661.2,3.93479597,3542.0461731028,
2011-01-16,0.38679,1993090.191,3.89072744,3600.03451144,
2011-01-17,0.3495,1804101.525,3.48443916,3620.06322992,
2011-01-18,0.31299,1617845.31,3.11008305,2940.017007708,
2011-01-19,0.31299,1620490.0755,3.07260733,3363.019,
2011-01-20,0.39,2022832.5,3.78751517,3360.0410783345,
2011-01-21,0.41991,2181621.4095,4.03324208,3420.0229845888,
2011-01-22,0.44003552893045,2289812.8818953824,4.1752733,3718.206463026,
2011-01-23,0.4424,2305877.28,4.11467439,3741.1543954517,
2011-01-24,0.4199,2192549.84,3.8538566,4136.1012,
2011-01-25,0.41,2144054.0,3.73958941,3476.0567860436,
2011-01-26,0.415085129748685,2174381.9436755115,3.28267628,3913.0473,
2011-01-27,0.4212,2209783.68,3.29852211,3402.252,
2011-01-28,0.444484044418469,2335452.5145879616,3.44964227,3483.0258,
2011-01-29,0.439,2310171.65,3.35970677,3667.698880236,
2011-01-30,0.477142033898305,2514610.089949152,3.62408311,3511.269489546,
2011-01-31,0.525136870251315,2772013.740152104,3.88967746,4176.3648,
2011-02-01,0.707510116890707,3740499.8614836335,5.02344554,5002.4825636068,
2011-02-02,0.725434821741671,3840996.0224167127,4.95514811,7268.046,
2011-02-03,0.693898367621274,3679569.568903711,4.68663449,8446.2855155868,
2011-02-04,0.810958971361777,4308178.987410872,5.36029838,7722.0964068456,
2011-02-05,0.911671477498539,4851368.600360725,5.79068626,7965.6408537407,
2011-02-06,0.898,4786564.5,5.59155797,8142.1114358096,
2011-02-07,0.889421369959088,4749865.884129514,5.25293615,9614.2902342768,
2011-02-08,0.918,4910198.4,5.35492291,7740.159632928,
2011-02-09,1.01605024547049,5444403.635329073,5.69602563,8827.0596207248,
2011-02-10,0.979652963179427,5258483.21045821,5.38116292,9118.8564557576,
2011-02-11,1.05406945353594,5667731.451662749,5.62034798,10044.5390354196,
2011-02-12,1.07870328404442,5810758.850490482,5.66318761,10094.7641254202,
2011-02-13,1.05,5666535.0,5.42738984,11009.2616,
